id,name,host_id,host_name,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews
96,Shared Dorm,1513,Alice,Neighbourhood A,Entire home/apt,38,21,114
97,City Conda,1087,Charlie,Neighbourhood A,Shared room,175,28,19
98,Luxury Villa,1798,Diana,Neighbourhood D,Hotel room,192,13,84
99,Luxury Villa,1922,Diana,Neighbourhood B,Private room,252,27,252
100,Cozy Apt,1641,Elon,Neighbourhood B,Private room,245,5,51
101,Beach House,1504,Alice,Neighbourhood A,Hotel room,417,17,147
102,Cozy Apt,1589,Bob,Neighbourhood D,Shared room,198,5,185
103,Beach House,1771,Bob,Neighbourhood D,Hotel room,55,26,172
104,Luxury Villa,1240,Charlie,Neighbourhood A,Private room,154,24,113
105,Cozy Apt,1652,Bob,Neighbourhood B,Private room,329,3,1
106,City Conda,1739,Diana,Neighbourhood D,Private room,279,9,33
107,Shared Dorm,1674,Diana,Neighbourhood D,Private room,455,9,281
108,Beach House,1235,Alice,Neighbourhood B,Shared room,39,22,160
109,Shared Dorm,1127,Charlie,Neighbourhood D,Private room,134,4,169
110,Shared Dorm,1502,Bob,Neighbourhood B,Private room,135,20,93
111,Cozy Apt,1199,Alice,Neighbourhood D,Shared room,486,11,247
112,Shared Dorm,1961,Elon,Neighbourhood D,Hotel room,30,17,7
113,City Conda,1901,Elon,Neighbourhood A,Shared room,211,14,109
114,Shared Dorm,1542,Bob,Neighbourhood D,Private room,429,10,31
115,Cozy Apt,1501,Bob,Neighbourhood B,Entire home/apt,331,5,50
116,City Conda,1649,Bob,Neighbourhood D,Shared room,170,21,167
117,Luxury Villa,1491,Diana,Neighbourhood A,Shared room,259,21,65
118,Shared Dorm,1020,Bob,Neighbourhood D,Hotel room,93,28,30
119,Cozy Apt,1233,Elon,Neighbourhood C,Private room,107,17,11
120,Luxury Villa,1713,Bob,Neighbourhood B,Entire home/apt,261,16,286
121,Luxury Villa,1790,Charlie,Neighbourhood C,Shared room,116,1,22
122,Beach House,1642,Elon,Neighbourhood A,Shared room,212,10,160
123,City Conda,1415,Charlie,Neighbourhood C,Shared room,348,12,263
124,Shared Dorm,1147,Elon,Neighbourhood D,Entire home/apt,175,18,189
125,Cozy Apt,1969,Alice,Neighbourhood B,Shared room,346,1,240
126,Beach House,1028,Elon,Neighbourhood C,Shared room,121,29,79
127,City Conda,1360,Elon,Neighbourhood D,Entire home/apt,152,24,270
128,Beach House,1307,Charlie,Neighbourhood C,Shared room,305,28,103
129,City Conda,1882,Charlie,Neighbourhood D,Entire home/apt,478,12,77
130,City Conda,1941,Elon,Neighbourhood D,Hotel room,93,20,11
131,Shared Dorm,1161,Elon,Neighbourhood C,Entire home/apt,361,6,282
132,City Conda,1868,Diana,Neighbourhood A,Hotel room,248,8,110
133,Beach House,1851,Alice,Neighbourhood B,Entire home/apt,221,14,259
134,City Conda,1060,Alice,Neighbourhood A,Private room,136,5,195
135,Shared Dorm,1124,Bob,Neighbourhood C,Shared room,426,22,183
136,Shared Dorm,1455,Elon,Neighbourhood D,Hotel room,276,4,145
137,Beach House,1070,Elon,Neighbourhood C,Shared room,481,22,174
138,Luxury Villa,1837,Elon,Neighbourhood D,Shared room,483,16,199
139,Luxury Villa,1906,Elon,Neighbourhood D,Entire home/apt,86,6,187
140,City Conda,1875,Alice,Neighbourhood A,Private room,74,3,105
141,Cozy Apt,1465,Charlie,Neighbourhood A,Entire home/apt,405,4,72
142,City Conda,1242,Diana,Neighbourhood C,Shared room,115,22,271
143,Beach House,1489,Charlie,Neighbourhood B,Entire home/apt,67,8,213
144,Beach House,1760,Charlie,Neighbourhood A,Hotel room,211,29,185
145,Beach House,1220,Alice,Neighbourhood D,Private room,193,14,139
146,Beach House,1472,Diana,Neighbourhood C,Shared room,274,7,166
147,Beach House,1958,Elon,Neighbourhood C,Entire home/apt,352,4,142
148,Shared Dorm,1532,Alice,Neighbourhood B,Hotel room,406,19,71
149,Luxury Villa,1493,Alice,Neighbourhood C,Private room,155,11,146
150,Beach House,1898,Diana,Neighbourhood A,Entire home/apt,236,15,100
151,Cozy Apt,1081,Bob,Neighbourhood D,Entire home/apt,296,24,84
152,Cozy Apt,1855,Alice,Neighbourhood C,Shared room,383,16,294
153,Cozy Apt,1878,Charlie,Neighbourhood C,Hotel room,440,6,142
154,Cozy Apt,1997,Charlie,Neighbourhood D,Private room,116,12,194
155,Shared Dorm,1521,Elon,Neighbourhood C,Entire home/apt,174,8,183
156,Cozy Apt,1922,Alice,Neighbourhood C,Private room,151,25,66
157,Beach House,1011,Elon,Neighbourhood B,Hotel room,127,25,221
158,City Conda,1262,Alice,Neighbourhood A,Shared room,498,10,261
159,Cozy Apt,1656,Diana,Neighbourhood C,Shared room,318,11,21
160,Shared Dorm,1448,Alice,Neighbourhood A,Shared room,162,9,165
161,Shared Dorm,1191,Bob,Neighbourhood B,Private room,408,26,101
162,Cozy Apt,1761,Charlie,Neighbourhood A,Private room,366,17,109
163,City Conda,1113,Diana,Neighbourhood B,Entire home/apt,347,28,178
164,Cozy Apt,1025,Charlie,Neighbourhood A,Hotel room,94,14,166
165,Shared Dorm,1782,Elon,Neighbourhood A,Hotel room,228,3,133
166,Luxury Villa,1498,Diana,Neighbourhood C,Hotel room,154,9,29
167,Beach House,1507,Bob,Neighbourhood A,Private room,480,20,85
168,Shared Dorm,1544,Charlie,Neighbourhood C,Shared room,375,26,8
169,Cozy Apt,1061,Alice,Neighbourhood C,Hotel room,237,28,135
170,Beach House,1228,Alice,Neighbourhood A,Entire home/apt,237,18,289
171,Cozy Apt,1814,Alice,Neighbourhood C,Private room,329,17,135
172,Cozy Apt,1606,Diana,Neighbourhood A,Shared room,150,5,139
173,Luxury Villa,1034,Bob,Neighbourhood D,Hotel room,171,20,42
174,Beach House,1704,Bob,Neighbourhood C,Shared room,376,21,104
175,Beach House,1455,Bob,Neighbourhood D,Entire home/apt,86,27,30
176,Luxury Villa,1587,Charlie,Neighbourhood D,Hotel room,333,21,169
177,Shared Dorm,1890,Diana,Neighbourhood C,Hotel room,174,24,160
178,Cozy Apt,1501,Alice,Neighbourhood B,Shared room,73,6,274
179,City Conda,1760,Charlie,Neighbourhood B,Private room,161,3,252
180,Cozy Apt,1594,Bob,Neighbourhood D,Shared room,110,16,218
181,Cozy Apt,1024,Alice,Neighbourhood D,Entire home/apt,382,15,112
182,Shared Dorm,1568,Diana,Neighbourhood A,Shared room,59,25,219
183,Cozy Apt,1031,Elon,Neighbourhood D,Shared room,406,8,182
184,Luxury Villa,1830,Bob,Neighbourhood C,Hotel room,370,9,259
185,Luxury Villa,1011,Bob,Neighbourhood B,Private room,238,4,11
186,Beach House,1318,Bob,Neighbourhood B,Private room,488,13,245
187,City Conda,1844,Bob,Neighbourhood B,Private room,272,24,249
188,Cozy Apt,1603,Alice,Neighbourhood C,Private room,212,27,57
189,Cozy Apt,1000,Diana,Neighbourhood A,Shared room,187,3,0
190,Shared Dorm,1434,Charlie,Neighbourhood C,Hotel room,175,21,202
191,Luxury Villa,1837,Alice,Neighbourhood C,Hotel room,369,7,43
192,City Conda,1135,Diana,Neighbourhood B,Private room,383,16,94
193,Beach House,1195,Charlie,Neighbourhood C,Shared room,262,17,293
194,Luxury Villa,1132,Bob,Neighbourhood D,Private room,121,17,8
195,Beach House,1984,Diana,Neighbourhood C,Private room,358,19,261
196,Shared Dorm,1085,Bob,Neighbourhood B,Hotel room,201,20,252
197,Shared Dorm,1475,Diana,Neighbourhood B,Hotel room,219,17,95
198,Cozy Apt,1806,Elon,Neighbourhood C,Private room,60,24,129
199,City Conda,1790,Bob,Neighbourhood D,Shared room,138,2,35
200,Beach House,1323,Bob,Neighbourhood D,Private room,301,27,104
201,Luxury Villa,1179,Bob,Neighbourhood B,Hotel room,124,5,198
202,Shared Dorm,1515,Alice,Neighbourhood D,Hotel room,106,16,290
203,Cozy Apt,1637,Charlie,Neighbourhood D,Shared room,180,29,29
204,Cozy Apt,1174,Bob,Neighbourhood A,Private room,171,22,92
205,Beach House,1762,Bob,Neighbourhood A,Private room,260,11,235
206,Shared Dorm,1020,Alice,Neighbourhood D,Entire home/apt,287,22,194
207,City Conda,1996,Alice,Neighbourhood D,Private room,425,6,255
208,Shared Dorm,1951,Elon,Neighbourhood A,Shared room,471,11,30
209,Beach House,1104,Diana,Neighbourhood A,Hotel room,157,1,24
210,Beach House,1577,Bob,Neighbourhood A,Entire home/apt,377,19,0
211,Shared Dorm,1442,Diana,Neighbourhood B,Shared room,253,3,117
212,Beach House,1774,Alice,Neighbourhood B,Shared room,213,8,164
213,Shared Dorm,1048,Alice,Neighbourhood A,Entire home/apt,309,22,112
214,Luxury Villa,1527,Elon,Neighbourhood A,Private room,322,18,194
215,Shared Dorm,1144,Charlie,Neighbourhood A,Entire home/apt,58,13,139
216,Shared Dorm,1339,Alice,Neighbourhood B,Shared room,327,1,19
217,Beach House,1761,Bob,Neighbourhood B,Private room,47,20,285
218,Beach House,1854,Elon,Neighbourhood D,Hotel room,160,17,230
219,Cozy Apt,1353,Charlie,Neighbourhood C,Entire home/apt,490,5,78
220,Cozy Apt,1074,Elon,Neighbourhood D,Shared room,298,12,127
221,Luxury Villa,1801,Alice,Neighbourhood C,Private room,135,11,84
222,Cozy Apt,1928,Charlie,Neighbourhood C,Shared room,186,24,63
223,Shared Dorm,1793,Diana,Neighbourhood C,Private room,479,26,273
224,Beach House,1577,Charlie,Neighbourhood D,Private room,88,18,287
225,Cozy Apt,1636,Bob,Neighbourhood B,Entire home/apt,121,8,252
226,Cozy Apt,1318,Diana,Neighbourhood B,Hotel room,461,29,93
227,Luxury Villa,1086,Diana,Neighbourhood B,Private room,289,24,288
228,Luxury Villa,1552,Bob,Neighbourhood B,Shared room,80,22,149
229,Shared Dorm,1981,Diana,Neighbourhood D,Private room,162,24,156
230,Beach House,1697,Alice,Neighbourhood A,Hotel room,196,13,215
231,Luxury Villa,1865,Charlie,Neighbourhood C,Shared room,326,2,259
232,Cozy Apt,1891,Charlie,Neighbourhood B,Private room,34,23,99
233,Beach House,1846,Bob,Neighbourhood B,Private room,165,16,121
234,Beach House,1777,Alice,Neighbourhood D,Entire home/apt,255,12,131
235,Cozy Apt,1782,Diana,Neighbourhood C,Hotel room,213,8,4
236,Luxury Villa,1041,Charlie,Neighbourhood B,Private room,438,4,232
237,Cozy Apt,1092,Charlie,Neighbourhood A,Hotel room,120,14,166
238,Beach House,1696,Charlie,Neighbourhood B,Private room,465,9,56
239,City Conda,1726,Charlie,Neighbourhood C,Shared room,337,11,30
240,City Conda,1506,Elon,Neighbourhood A,Hotel room,420,16,6
241,Shared Dorm,1528,Bob,Neighbourhood D,Shared room,218,6,11
242,Cozy Apt,1955,Diana,Neighbourhood A,Hotel room,498,12,9
243,Cozy Apt,1264,Diana,Neighbourhood C,Shared room,332,19,156
244,Shared Dorm,1625,Bob,Neighbourhood C,Private room,412,16,212
245,Shared Dorm,1291,Alice,Neighbourhood A,Shared room,367,13,140
246,Shared Dorm,1968,Bob,Neighbourhood B,Shared room,351,4,126
247,Beach House,1463,Charlie,Neighbourhood C,Private room,472,12,197
248,Cozy Apt,1803,Charlie,Neighbourhood A,Hotel room,162,4,136
249,Beach House,1559,Bob,Neighbourhood C,Shared room,201,17,178
250,Shared Dorm,1818,Bob,Neighbourhood B,Entire home/apt,455,14,87
251,Cozy Apt,1096,Diana,Neighbourhood B,Entire home/apt,279,29,266
252,Beach House,1886,Diana,Neighbourhood A,Shared room,90,26,163
253,Beach House,1094,Elon,Neighbourhood D,Shared room,476,17,248
254,Shared Dorm,1325,Elon,Neighbourhood D,Shared room,79,1,0
255,Cozy Apt,1073,Charlie,Neighbourhood B,Hotel room,451,20,276
256,Shared Dorm,1335,Elon,Neighbourhood D,Private room,252,1,171
257,Cozy Apt,1067,Elon,Neighbourhood B,Entire home/apt,467,22,261
258,City Conda,1757,Alice,Neighbourhood D,Entire home/apt,201,2,141
259,Luxury Villa,1917,Bob,Neighbourhood B,Hotel room,437,17,92
260,Luxury Villa,1076,Diana,Neighbourhood C,Shared room,413,23,128
261,Luxury Villa,1207,Elon,Neighbourhood A,Shared room,348,22,135
262,Shared Dorm,1883,Diana,Neighbourhood A,Private room,254,1,110
263,City Conda,1765,Elon,Neighbourhood D,Private room,452,12,43
264,Cozy Apt,1220,Elon,Neighbourhood A,Entire home/apt,425,13,210
265,Beach House,1261,Charlie,Neighbourhood D,Private room,220,14,246
266,Cozy Apt,1409,Alice,Neighbourhood B,Entire home/apt,388,10,231
267,Beach House,1330,Bob,Neighbourhood C,Hotel room,294,12,291
268,Cozy Apt,1343,Bob,Neighbourhood A,Shared room,273,25,169
269,City Conda,1988,Charlie,Neighbourhood C,Shared room,108,22,233
270,Beach House,1770,Charlie,Neighbourhood A,Entire home/apt,372,18,7
271,Shared Dorm,1819,Bob,Neighbourhood B,Shared room,394,7,99
272,Cozy Apt,1073,Bob,Neighbourhood A,Hotel room,51,19,252
273,Cozy Apt,1636,Alice,Neighbourhood A,Private room,65,15,281
274,Beach House,1699,Elon,Neighbourhood B,Hotel room,359,7,290
275,Shared Dorm,1253,Alice,Neighbourhood D,Shared room,185,14,187
276,Shared Dorm,1958,Bob,Neighbourhood D,Hotel room,85,9,122
277,City Conda,1832,Elon,Neighbourhood B,Shared room,384,5,131
278,Shared Dorm,1819,Bob,Neighbourhood D,Entire home/apt,277,1,235
279,Shared Dorm,1746,Alice,Neighbourhood A,Private room,442,16,220
280,Shared Dorm,1985,Alice,Neighbourhood C,Private room,290,5,61
281,Luxury Villa,1761,Alice,Neighbourhood B,Shared room,289,24,177
282,City Conda,1331,Elon,Neighbourhood A,Shared room,464,8,219
283,Cozy Apt,1397,Diana,Neighbourhood B,Private room,44,19,170
284,Beach House,1344,Diana,Neighbourhood C,Hotel room,217,20,81
285,Cozy Apt,1583,Bob,Neighbourhood A,Hotel room,55,12,13
286,City Conda,1746,Elon,Neighbourhood A,Hotel room,52,8,269
287,Beach House,1835,Charlie,Neighbourhood C,Private room,410,8,53
288,City Conda,1667,Diana,Neighbourhood C,Entire home/apt,132,23,130
289,Shared Dorm,1454,Elon,Neighbourhood D,Shared room,58,6,97
290,Beach House,1905,Elon,Neighbourhood A,Shared room,371,20,200
291,Shared Dorm,1114,Diana,Neighbourhood C,Private room,86,26,260
292,Cozy Apt,1312,Elon,Neighbourhood C,Entire home/apt,91,29,220
293,Cozy Apt,1227,Elon,Neighbourhood A,Private room,472,9,4
294,Beach House,1833,Diana,Neighbourhood D,Hotel room,77,2,116
295,Beach House,1857,Alice,Neighbourhood B,Hotel room,396,18,191
296,City Conda,1244,Bob,Neighbourhood D,Shared room,495,1,115
297,City Conda,1817,Charlie,Neighbourhood C,Shared room,64,11,235
298,Shared Dorm,1525,Bob,Neighbourhood B,Shared room,75,15,50
299,Beach House,1527,Alice,Neighbourhood B,Shared room,62,12,12
300,Cozy Apt,1949,Alice,Neighbourhood D,Hotel room,356,3,217
301,City Conda,1426,Elon,Neighbourhood B,Hotel room,255,19,67
302,City Conda,1041,Bob,Neighbourhood C,Entire home/apt,295,20,230
303,Cozy Apt,1464,Alice,Neighbourhood A,Shared room,245,19,91
304,City Conda,1621,Bob,Neighbourhood A,Private room,246,10,103
305,Shared Dorm,1277,Alice,Neighbourhood A,Entire home/apt,205,16,77
306,Beach House,1835,Charlie,Neighbourhood D,Entire home/apt,73,6,101
307,Cozy Apt,1018,Alice,Neighbourhood A,Hotel room,248,9,260
308,Beach House,1065,Bob,Neighbourhood A,Shared room,155,8,225
309,City Conda,1166,Elon,Neighbourhood A,Entire home/apt,399,22,174
310,City Conda,1584,Bob,Neighbourhood B,Shared room,483,16,87
311,Cozy Apt,1402,Diana,Neighbourhood B,Hotel room,408,8,117
312,Shared Dorm,1911,Bob,Neighbourhood B,Entire home/apt,348,24,279
313,Luxury Villa,1821,Charlie,Neighbourhood C,Entire home/apt,334,26,140
314,Cozy Apt,1408,Charlie,Neighbourhood C,Private room,229,22,112
315,Luxury Villa,1111,Charlie,Neighbourhood C,Hotel room,114,18,248
316,Luxury Villa,1273,Alice,Neighbourhood A,Private room,70,5,88
317,Shared Dorm,1406,Charlie,Neighbourhood B,Hotel room,240,20,219
318,Luxury Villa,1372,Bob,Neighbourhood C,Private room,383,12,50
319,Luxury Villa,1596,Elon,Neighbourhood D,Hotel room,68,6,174
320,Shared Dorm,1650,Charlie,Neighbourhood B,Hotel room,392,2,208
321,Luxury Villa,1038,Bob,Neighbourhood A,Entire home/apt,436,4,116
322,Luxury Villa,1104,Alice,Neighbourhood B,Private room,298,16,290
323,Luxury Villa,1323,Alice,Neighbourhood A,Private room,391,29,85
324,Cozy Apt,1792,Elon,Neighbourhood C,Private room,396,24,134
325,Cozy Apt,1958,Elon,Neighbourhood A,Entire home/apt,210,14,265
326,Cozy Apt,1991,Bob,Neighbourhood A,Shared room,260,17,219
327,Shared Dorm,1413,Elon,Neighbourhood D,Hotel room,99,19,294
328,City Conda,1428,Elon,Neighbourhood B,Private room,342,4,185
329,Luxury Villa,1634,Alice,Neighbourhood A,Hotel room,105,18,162
330,Luxury Villa,1729,Bob,Neighbourhood D,Entire home/apt,480,12,126
331,Shared Dorm,1888,Elon,Neighbourhood D,Hotel room,461,2,116
332,Luxury Villa,1060,Bob,Neighbourhood D,Entire home/apt,305,6,136
333,Cozy Apt,1611,Charlie,Neighbourhood C,Shared room,263,6,255
334,City Conda,1306,Alice,Neighbourhood C,Private room,347,3,263
335,Beach House,1353,Alice,Neighbourhood A,Entire home/apt,458,8,221
336,Luxury Villa,1392,Alice,Neighbourhood B,Hotel room,348,12,149
337,Cozy Apt,1203,Diana,Neighbourhood C,Entire home/apt,165,3,235
338,Beach House,1257,Bob,Neighbourhood C,Entire home/apt,183,2,167
339,City Conda,1485,Charlie,Neighbourhood A,Shared room,323,21,68
340,Beach House,1516,Elon,Neighbourhood A,Private room,377,29,208
341,Cozy Apt,1445,Charlie,Neighbourhood C,Entire home/apt,128,23,51
342,Beach House,1708,Bob,Neighbourhood A,Entire home/apt,393,1,266
343,Shared Dorm,1179,Alice,Neighbourhood D,Hotel room,390,18,149
344,Beach House,1341,Diana,Neighbourhood A,Entire home/apt,454,18,12
345,Luxury Villa,1132,Bob,Neighbourhood D,Entire home/apt,392,8,99
346,Luxury Villa,1442,Bob,Neighbourhood C,Private room,387,26,172
347,Shared Dorm,1835,Elon,Neighbourhood B,Private room,159,22,236
348,Cozy Apt,1252,Charlie,Neighbourhood D,Hotel room,36,14,74
349,Luxury Villa,1264,Charlie,Neighbourhood B,Entire home/apt,412,29,249
350,City Conda,1092,Elon,Neighbourhood C,Entire home/apt,134,13,77
351,Luxury Villa,1661,Diana,Neighbourhood A,Entire home/apt,438,15,277
352,Luxury Villa,1410,Alice,Neighbourhood D,Shared room,336,15,241
353,Cozy Apt,1137,Alice,Neighbourhood D,Shared room,79,13,215
354,Beach House,1207,Diana,Neighbourhood C,Hotel room,253,4,219
355,Luxury Villa,1636,Elon,Neighbourhood C,Shared room,93,4,20
356,Shared Dorm,1745,Bob,Neighbourhood A,Hotel room,425,5,91
357,Beach House,1572,Charlie,Neighbourhood B,Entire home/apt,210,3,294
358,City Conda,1306,Bob,Neighbourhood D,Shared room,104,12,99
359,Cozy Apt,1265,Charlie,Neighbourhood B,Private room,295,20,265
360,City Conda,1645,Bob,Neighbourhood D,Shared room,218,12,167
361,Beach House,1317,Elon,Neighbourhood D,Entire home/apt,212,20,57
362,Beach House,1112,Elon,Neighbourhood A,Private room,384,7,88
363,Beach House,1900,Diana,Neighbourhood D,Hotel room,97,7,172
364,City Conda,1377,Bob,Neighbourhood D,Entire home/apt,199,1,144
365,Beach House,1453,Bob,Neighbourhood C,Private room,351,12,120
366,City Conda,1190,Diana,Neighbourhood A,Shared room,201,3,244
367,Beach House,1890,Diana,Neighbourhood C,Hotel room,313,15,265
368,Shared Dorm,1439,Elon,Neighbourhood D,Shared room,136,9,61
369,Beach House,1186,Elon,Neighbourhood A,Private room,395,22,88
370,City Conda,1830,Bob,Neighbourhood D,Private room,140,22,71
371,Luxury Villa,1366,Elon,Neighbourhood A,Entire home/apt,107,20,169
372,Beach House,1088,Elon,Neighbourhood B,Hotel room,215,26,172
373,Luxury Villa,1186,Bob,Neighbourhood B,Hotel room,282,9,75
374,Shared Dorm,1818,Diana,Neighbourhood A,Private room,265,14,157
375,Cozy Apt,1945,Bob,Neighbourhood D,Entire home/apt,122,28,212
376,Shared Dorm,1131,Alice,Neighbourhood A,Private room,159,3,8
377,Beach House,1871,Bob,Neighbourhood D,Private room,212,8,2
378,Luxury Villa,1634,Alice,Neighbourhood B,Hotel room,63,29,169
379,Luxury Villa,1559,Bob,Neighbourhood D,Shared room,433,6,146
